创建分享状态,分享文件上一级目录名称,分享名,分享地址,提取码,分享时间
成功,../申论,20250711 申论01讲.mp4,"我用夸克网盘分享了「20250711 申论01讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/28ffb74cad65",,2026-03-16 10:47
成功,../申论,20250712 申论02讲.mp4,"我用夸克网盘分享了「20250712 申论02讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/80ef30cebcbd",,2026-03-16 10:47
成功,../申论,20250718 申论03讲.mp4,"我用夸克网盘分享了「20250718 申论03讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/d21de26aad27",,2026-03-16 10:47
成功,../申论,20250719 申论04讲.mp4,"我用夸克网盘分享了「20250719 申论04讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/c44654971c80",,2026-03-16 10:47
成功,../申论,20250725 申论05讲.mp4,"我用夸克网盘分享了「20250725 申论05讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/4d799c077ff2",,2026-03-16 10:47
成功,../申论,20250726 申论06讲.mp4,"我用夸克网盘分享了「20250726 申论06讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/2e39fb097edb",,2026-03-16 10:47
成功,../申论,20250801 申论07讲.mp4,"我用夸克网盘分享了「20250801 申论07讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/ec6ffaaf8ad0",,2026-03-16 10:47
成功,../申论,20250802 申论08讲.mp4,"我用夸克网盘分享了「20250802 申论08讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/7cb2dd5bcc27",,2026-03-16 10:47
成功,../申论,20250808 申论09讲.mp4,"我用夸克网盘分享了「20250808 申论09讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/a8ad5269a790",,2026-03-16 10:47
成功,../申论,20250809 申论10讲.mp4,"我用夸克网盘分享了「20250809 申论10讲.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/b89dda6940cb",,2026-03-16 10:47
成功,../申论,20250817 申论加课.mp4,"我用夸克网盘分享了「20250817 申论加课.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/6080825a1d89",,2026-03-16 10:47
成功,../申论,20250818 申论总结.mp4,"我用夸克网盘分享了「20250818 申论总结.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/413528ddfb49",,2026-03-16 10:47
成功,../申论,20250827 申论刷题1.mp4,"我用夸克网盘分享了「20250827 申论刷题1.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/59faeb9e43c2",,2026-03-16 10:47
成功,../申论,20250828 申论刷题2.mp4,"我用夸克网盘分享了「20250828 申论刷题2.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/30d6c6316cf2",,2026-03-16 10:47
成功,../申论,20250903 申论刷题3.mp4,"我用夸克网盘分享了「20250903 申论刷题3.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/5d25869d44b8",,2026-03-16 10:47
成功,../申论,20250904 申论刷题4.mp4,"我用夸克网盘分享了「20250904 申论刷题4.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/9ab504732188",,2026-03-16 10:47
成功,../申论,20250910 申论刷题5.mp4,"我用夸克网盘分享了「20250910 申论刷题5.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/74a3237718f5",,2026-03-16 10:47
成功,../申论,20250911 申论刷题6.mp4,"我用夸克网盘分享了「20250911 申论刷题6.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/8584eba5d2cb",,2026-03-16 10:47
成功,../申论,20250917 申论刷题7.mp4,"我用夸克网盘分享了「20250917 申论刷题7.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/ac2379f894ff",,2026-03-16 10:47
成功,../申论,20250918 申论刷题8.mp4,"我用夸克网盘分享了「20250918 申论刷题8.mp4」，点击链接即可保存。打开「夸克APP」，无需下载在线播放视频，畅享原画5倍速，支持电视投屏。
链接：https://pan.quark.cn/s/f12e3dc671d8",,2026-03-16 10:47
